fiscal_year,state,district_as_per_source,district_as_per_lgd,district_lgd_code,crop,season,area,production,crop_yield,unit,note
2019-20,Odisha,Kandhamal,Kandhamal,359.0,Sweet potato,Kharif,2090.0,19570.0,9.363636363636363,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Sonepur,Sonepur,372.0,Sweet potato,Kharif,780.0,7300.0,9.35897435897436,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Jajapur,Jajapur,356.0,Sweet potato,Rabi,90.0,840.0,9.333333333333334,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Puri,Puri,369.0,Sweet potato,Kharif,240.0,2240.0,9.333333333333334,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Jharsuguda,Jharsuguda,357.0,Sweet potato,Rabi,40.0,370.0,9.25,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Jharsuguda,Jharsuguda,357.0,Sweet potato,Kharif,210.0,1940.0,9.238095238095235,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Nuapada,Nuapada,368.0,Sweet potato,Kharif,1100.0,10150.0,9.227272727272728,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Boudh,Boudh,349.0,Sweet potato,Rabi,90.0,830.0,9.22222222222222,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Bargarh,Bargarh,347.0,Sweet potato,Kharif,270.0,2480.0,9.185185185185183,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Koraput,Koraput,363.0,Sweet potato,Kharif,3310.0,30300.0,9.154078549848943,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Cuttack,Cuttack,350.0,Sweet potato,Rabi,140.0,1280.0,9.142857142857142,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Mayurbhanj,Mayurbhanj,365.0,Potato,Winter,42.0,383.0,9.11904761904762,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Sundargarh,Sundargarh,373.0,Sweet potato,Rabi,700.0,6380.0,9.114285714285714,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Gajapati,Gajapati,353.0,Sweet potato,Rabi,590.0,5360.0,9.084745762711863,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Sambalpur,Sambalpur,371.0,Sweet potato,Rabi,240.0,2180.0,9.083333333333334,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Balangir,Balangir,345.0,Sweet potato,Rabi,130.0,1180.0,9.076923076923077,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Jagatsinghapur,Jagatsinghapur,355.0,Sweet potato,Kharif,140.0,1270.0,9.071428571428571,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Kendujhar,Kendujhar,361.0,Sweet potato,Rabi,140.0,1270.0,9.071428571428571,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Koraput,Koraput,363.0,Sweet potato,Rabi,280.0,2530.0,9.035714285714286,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Sonepur,Sonepur,372.0,Sweet potato,Rabi,290.0,2620.0,9.03448275862069,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Baleshwar,Balasore,346.0,Sweet potato,Kharif,310.0,2790.0,9.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Bargarh,Bargarh,347.0,Sweet potato,Rabi,50.0,450.0,9.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Deogarh,Deogarh,351.0,Sweet potato,Rabi,50.0,450.0,9.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Khordha,Khordha,362.0,Sweet potato,Rabi,10.0,90.0,9.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Puri,Puri,369.0,Sweet potato,Rabi,40.0,360.0,9.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Rayagada,Rayagada,370.0,Sweet potato,Rabi,170.0,1530.0,9.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,State Total,,,Sweet potato,Rabi,6610.0,59200.0,8.956127080181544,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Kalahandi,Kalahandi,358.0,Sweet potato,Rabi,190.0,1680.0,8.842105263157896,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Ganjam,Ganjam,354.0,Sweet potato,Rabi,2350.0,20560.0,8.748936170212765,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Boudh,Boudh,349.0,Sweet potato,Kharif,460.0,3880.0,8.434782608695652,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Baleshwar,Balasore,346.0,Sweet potato,Rabi,50.0,420.0,8.4,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Jagatsinghapur,Jagatsinghapur,355.0,Sweet potato,Rabi,90.0,750.0,8.333333333333334,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Koraput,Koraput,363.0,Potato,Winter,967.0,7951.6,8.222957600827302,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Cuttack,Cuttack,350.0,Sweet potato,Kharif,680.0,5580.0,8.205882352941176,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Anugul,Anugul,344.0,Sweet potato,Rabi,190.0,1550.0,8.157894736842104,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Jajapur,Jajapur,356.0,Sweet potato,Kharif,160.0,1260.0,7.875,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Ganjam,Ganjam,354.0,Potato,Winter,37.0,288.0,7.783783783783784,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Kandhamal,Kandhamal,359.0,Potato,Winter,241.0,1855.7,7.7,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Nuapada,Nuapada,368.0,Potato,Winter,2.0,14.3,7.15,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Sambalpur,Sambalpur,371.0,Potato,Winter,468.0,3325.1000000000004,7.104914529914531,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Deogarh,Deogarh,351.0,Potato,Winter,206.0,1391.3000000000002,6.753883495145632,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Puri,Puri,369.0,Garlic,Rabi,150.0,980.0,6.533333333333333,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Bargarh,Bargarh,347.0,Garlic,Rabi,30.0,190.0,6.333333333333333,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Nabarangpur,Nabarangpur,366.0,Garlic,Rabi,20.0,120.0,6.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Nayagarh,Nayagarh,367.0,Garlic,Rabi,140.0,830.0,5.928571428571429,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Rayagada,Rayagada,370.0,Garlic,Rabi,610.0,3420.0,5.60655737704918,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Balangir,Balangir,345.0,Potato,Winter,35.0,192.9,5.511428571428572,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Gajapati,Gajapati,353.0,Garlic,Rabi,70.0,380.0,5.428571428571429,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Boudh,Boudh,349.0,Potato,Winter,28.0,147.5,5.267857142857143,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Jajapur,Jajapur,356.0,Castor seed,Kharif,20.0,100.0,5.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Kendrapara,Kendrapara,360.0,Garlic,Rabi,20.0,100.0,5.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Sonepur,Sonepur,372.0,Garlic,Rabi,230.0,1010.0,4.391304347826087,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Sundargarh,Sundargarh,373.0,Garlic,Rabi,480.0,2100.0,4.375,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Deogarh,Deogarh,351.0,Garlic,Rabi,140.0,590.0,4.214285714285714,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Khordha,Khordha,362.0,Garlic,Rabi,670.0,2820.0,4.208955223880597,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Bhadrak,Bhadrak,348.0,Garlic,Rabi,820.0,3450.0,4.2073170731707314,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Cuttack,Cuttack,350.0,Rice,Summer,2050.0,8600.0,4.195121951219512,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Cuttack,Cuttack,350.0,Garlic,Rabi,750.0,3140.0,4.1866666666666665,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Mayurbhanj,Mayurbhanj,365.0,Garlic,Rabi,360.0,1500.0,4.166666666666667,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Sonepur,Sonepur,372.0,Rice,Summer,38200.0,156670.0,4.10130890052356,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Malkangiri,Malkangiri,364.0,Groundnut,Summer,4456.0,18274.1,4.101009874326751,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Baleshwar,Balasore,346.0,Garlic,Rabi,760.0,3110.0,4.092105263157895,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Jharsuguda,Jharsuguda,357.0,Rice,Summer,610.0,2490.0,4.081967213114754,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Nuapada,Nuapada,368.0,Garlic,Rabi,330.0,1340.0,4.0606060606060606,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Nabarangpur,Nabarangpur,366.0,Maize,Summer,2606.0,10356.2,3.973983115886416,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Jharsuguda,Jharsuguda,357.0,Rice,Winter,29940.0,110820.0,3.701402805611224,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Kalahandi,Kalahandi,358.0,Rice,Summer,34190.0,126130.0,3.689090377303305,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Dhenkanal,Dhenkanal,352.0,Garlic,Rabi,160.0,590.0,3.6875,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,State Total,,,Garlic,Rabi,13500.0,49530.0,3.668888888888889,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Malkangiri,Malkangiri,364.0,Garlic,Rabi,150.0,550.0,3.6666666666666665,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Jharsuguda,Jharsuguda,357.0,Garlic,Rabi,170.0,620.0,3.647058823529412,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Nabarangpur,Nabarangpur,366.0,Maize,Autumn,32439.0,116845.3,3.602000678195999,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Rayagada,Rayagada,370.0,Rice,Summer,3310.0,11760.0,3.5528700906344413,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Sambalpur,Sambalpur,371.0,Rice,Summer,11550.0,40550.0,3.51082251082251,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Jagatsinghapur,Jagatsinghapur,355.0,Garlic,Rabi,450.0,1540.0,3.422222222222222,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Baleshwar,Balasore,346.0,Rice,Summer,43710.0,149020.0,3.40928849233585,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Boudh,Boudh,349.0,Garlic,Rabi,180.0,610.0,3.388888888888889,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Koraput,Koraput,363.0,Garlic,Rabi,370.0,1250.0,3.3783783783783785,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Balangir,Balangir,345.0,Garlic,Rabi,640.0,2160.0,3.375,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Balangir,Balangir,345.0,Maize,Autumn,573.0,1930.8,3.369633507853404,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Khordha,Khordha,362.0,Rice,Summer,590.0,1970.0,3.3389830508474576,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,State Total,,,Maize,Summer,3934.0,13113.6,3.3334011184544994,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Rayagada,Rayagada,370.0,Rice,Winter,52130.0,172310.0,3.305390370228276,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Kalahandi,Kalahandi,358.0,Garlic,Rabi,100.0,330.0,3.3,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Deogarh,Deogarh,351.0,Turmeric,Kharif,170.0,560.0,3.294117647058824,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Cuttack,Cuttack,350.0,Rice,Winter,116810.0,384520.0,3.2918414519304853,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Nabarangpur,Nabarangpur,366.0,Rice,Winter,105290.0,342380.0,3.251780795897046,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Nuapada,Nuapada,368.0,Rice,Summer,8730.0,28200.0,3.2302405498281788,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Sambalpur,Sambalpur,371.0,Garlic,Rabi,220.0,710.0,3.227272727272727,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Nayagarh,Nayagarh,367.0,Maize,Autumn,71.0,228.6,3.219718309859155,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Ganjam,Ganjam,354.0,Garlic,Rabi,200.0,640.0,3.2,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Sundargarh,Sundargarh,373.0,Maize,Winter,11.0,35.2,3.2,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,State Total,,,Rice,Summer,292610.0,932910.0,3.188236902361505,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Sonepur,Sonepur,372.0,Rice,Winter,96450.0,307330.0,3.1864178330741315,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Anugul,Anugul,344.0,Rice,Winter,57960.0,184170.0,3.177536231884058,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Jharsuguda,Jharsuguda,357.0,Turmeric,Kharif,60.0,190.0,3.1666666666666665,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Mayurbhanj,Mayurbhanj,365.0,Maize,Winter,4.0,12.5,3.125,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Kendujhar,Kendujhar,361.0,Garlic,Rabi,1210.0,3780.0,3.12396694214876,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Kendujhar,Kendujhar,361.0,Maize,Autumn,736.0,2292.3,3.114538043478261,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Balangir,Balangir,345.0,Rice,Summer,2240.0,6960.0,3.107142857142857,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Puri,Puri,369.0,Rice,Summer,27840.0,85890.0,3.0851293103448274,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Kendujhar,Kendujhar,361.0,Rice,Winter,147690.0,455070.0,3.0812512695510867,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Bhadrak,Bhadrak,348.0,Maize,Summer,2.0,6.1,3.05,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Dhenkanal,Dhenkanal,352.0,Maize,Summer,21.0,63.8,3.0380952380952384,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Kendujhar,Kendujhar,361.0,Rice,Summer,2120.0,6390.0,3.0141509433962264,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Sonepur,Sonepur,372.0,Groundnut,Summer,75.0,225.4,3.005333333333333,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Kalahandi,Kalahandi,358.0,Rice,Winter,156190.0,469310.0,3.00473781932262,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Anugul,Anugul,344.0,Rice,Summer,30.0,90.0,3.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Dhenkanal,Dhenkanal,352.0,Turmeric,Kharif,1140.0,3420.0,3.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Puri,Puri,369.0,Turmeric,Kharif,10.0,30.0,3.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Sonepur,Sonepur,372.0,Turmeric,Kharif,50.0,150.0,3.0,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Rayagada,Rayagada,370.0,Turmeric,Kharif,1000.0,2980.0,2.98,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Koraput,Koraput,363.0,Rice,Summer,27570.0,81960.0,2.9727965179542983,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Koraput,Koraput,363.0,Rice,Winter,86250.0,253870.0,2.9434202898550725,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Anugul,Anugul,344.0,Maize,Autumn,397.0,1161.4,2.9254408060453403,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Sundargarh,Sundargarh,373.0,Maize,Summer,9.0,26.1,2.9000000000000004,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Gajapati,Gajapati,353.0,Turmeric,Kharif,870.0,2520.0,2.896551724137931,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Sambalpur,Sambalpur,371.0,Rice,Winter,79090.0,228920.0,2.894424073839929,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,State Total,,,Maize,Autumn,61041.0,175673.30000000002,2.877955800199866,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Anugul,Anugul,344.0,Garlic,Rabi,4070.000000000001,11670.0,2.867321867321867,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Mayurbhanj,Mayurbhanj,365.0,Rice,Summer,9250.0,26230.0,2.835675675675676,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Mayurbhanj,Mayurbhanj,365.0,Turmeric,Kharif,520.0,1460.0,2.8076923076923075,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Dhenkanal,Dhenkanal,352.0,Maize,Winter,18.0,50.5,2.805555555555556,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Jharsuguda,Jharsuguda,357.0,Rice,Autumn,21880.0,61270.0,2.800274223034735,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Deogarh,Deogarh,351.0,Groundnut,Summer,77.0,215.3,2.7961038961038964,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Bhadrak,Bhadrak,348.0,Rice,Summer,930.0,2600.0,2.795698924731183,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Boudh,Boudh,349.0,Rice,Winter,60260.0,167030.0,2.771822104215068,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Nabarangpur,Nabarangpur,366.0,Rice,Autumn,16410.0,45480.0,2.7714808043875685,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Dhenkanal,Dhenkanal,352.0,Rice,Winter,79990.0,221030.0,2.763220402550319,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Sambalpur,Sambalpur,371.0,Turmeric,Kharif,240.0,660.0,2.75,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Anugul,Anugul,344.0,Maize,Winter,12.0,32.7,2.725,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Malkangiri,Malkangiri,364.0,Groundnut,Winter,56.0,152.4,2.7214285714285715,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Jharsuguda,Jharsuguda,357.0,Maize,Autumn,18.0,48.7,2.705555555555556,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Boudh,Boudh,349.0,Rice,Summer,950.0,2570.0,2.705263157894737,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Ganjam,Ganjam,354.0,Maize,Summer,10.0,26.9,2.6900000000000004,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Nabarangpur,Nabarangpur,366.0,Rice,Summer,2730.0,7310.0,2.677655677655677,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Ganjam,Ganjam,354.0,Rice,Summer,30.0,80.0,2.6666666666666665,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Sonepur,Sonepur,372.0,Rice,Autumn,17030.0,44580.0,2.6177334116265416,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Koraput,Koraput,363.0,Turmeric,Kharif,3040.0,7920.0,2.6052631578947367,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Khordha,Khordha,362.0,Rice,Winter,88470.0,230480.0,2.6051768961229795,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Nayagarh,Nayagarh,367.0,Rice,Winter,86320.0,224550.0,2.6013670064874885,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Ganjam,Ganjam,354.0,Rice,Winter,281440.0,726160.0,2.5801591813530416,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Mayurbhanj,Mayurbhanj,365.0,Maize,Summer,70.0,179.8,2.568571428571429,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Boudh,Boudh,349.0,Turmeric,Kharif,400.0,1020.0,2.55,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Malkangiri,Malkangiri,364.0,Maize,Summer,13.0,33.1,2.5461538461538464,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Khordha,Khordha,362.0,Turmeric,Kharif,110.0,280.0,2.5454545454545454,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Bargarh,Bargarh,347.0,Rice,Summer,69610.0,176110.0,2.5299525930182445,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Anugul,Anugul,344.0,Turmeric,Kharif,550.0,1390.0,2.527272727272728,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Gajapati,Gajapati,353.0,Rice,Winter,30790.0,77690.0,2.523221825267944,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Deogarh,Deogarh,351.0,Groundnut,Autumn,66.0,165.8,2.512121212121212,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Nayagarh,Nayagarh,367.0,Maize,Summer,1.0,2.5,2.5,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Sonepur,Sonepur,372.0,Maize,Summer,1.0,2.5,2.5,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,State Total,,,Rice,Winter,3222020.0,8052660.0,2.4992582293095635,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Balangir,Balangir,345.0,Rice,Winter,121350.0,295310.0,2.433539348990524,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Deogarh,Deogarh,351.0,Maize,Summer,5.0,12.1,2.4200000000000004,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Anugul,Anugul,344.0,Maize,Summer,1.0,2.4000000000000004,2.4000000000000004,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Bhadrak,Bhadrak,348.0,Maize,Winter,1.0,2.4000000000000004,2.4000000000000004,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Nuapada,Nuapada,368.0,Wheat,Summer,1.0,2.4000000000000004,2.4000000000000004,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Cuttack,Cuttack,350.0,Rice,Autumn,150.0,360.0,2.4,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Sonepur,Sonepur,372.0,Maize,Winter,17.0,40.6,2.388235294117647,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
2019-20,Odisha,Dhenkanal,Dhenkanal,352.0,Rice,Summer,410.0,970.0,2.365853658536585,"area in Hectares, production in Tonnes, crop_yield in Tonnes per Hectare",
